index;k;lb;cleaning;class
synth-n_300-m_2561-k_30-p_0.05.txt;30;28;0;s
synth-n_300-m_4553-k_2-p_0.1.txt;2;2;2;s
synth-n_300-m_4565-k_4-p_0.1.txt;4;4;1;s
synth-n_300-m_4664-k_6-p_0.1.txt;6;6;6;s
synth-n_300-m_4762-k_8-p_0.1.txt;8;8;1;s
synth-n_300-m_4844-k_10-p_0.1.txt;10;10;0;s
synth-n_300-m_4893-k_15-p_0.1.txt;15;15;0;s
synth-n_300-m_5040-k_20-p_0.1.txt;20;20;0;s
synth-n_300-m_5040-k_25-p_0.1.txt;25;25;0;s
synth-n_300-m_5197-k_30-p_0.1.txt;30;30;0;s
synth-n_300-m_8966-k_2-p_0.2.txt;2;2;2;s
synth-n_300-m_9050-k_4-p_0.2.txt;4;4;1;s
synth-n_300-m_9125-k_6-p_0.2.txt;6;6;0;s
synth-n_300-m_9325-k_8-p_0.2.txt;8;8;0;s
synth-n_300-m_9436-k_10-p_0.2.txt;10;10;0;s
synth-n_300-m_9694-k_15-p_0.2.txt;15;15;0;s
synth-n_300-m_9819-k_20-p_0.2.txt;20;20;0;s
synth-n_300-m_9999-k_25-p_0.2.txt;25;25;0;s
synth-n_40-m_112-k_8-p_0.1.txt;6;6;3;s
synth-n_40-m_114-k_10-p_0.1.txt;6;6;6;s
synth-n_40-m_114-k_15-p_0.1.txt;6;6;6;s
synth-n_40-m_176-k_2-p_0.2.txt;2;2;2;s
synth-n_40-m_185-k_4-p_0.2.txt;4;4;0;s
synth-n_40-m_192-k_10-p_0.2.txt;10;9;0;s
synth-n_40-m_192-k_15-p_0.2.txt;13;11;0;s
synth-n_40-m_194-k_6-p_0.2.txt;5;5;0;s
synth-n_40-m_203-k_8-p_0.2.txt;7;7;1;s
synth-n_40-m_36-k_2-p_0.05.txt;0;0;0;s
synth-n_40-m_47-k_6-p_0.05.txt;0;0;0;s
synth-n_40-m_50-k_4-p_0.05.txt;1;1;1;s
synth-n_40-m_58-k_15-p_0.05.txt;1;1;1;s
synth-n_40-m_61-k_8-p_0.05.txt;1;1;1;s
synth-n_40-m_62-k_10-p_0.05.txt;3;3;3;s
synth-n_40-m_88-k_4-p_0.1.txt;3;3;3;s
synth-n_40-m_92-k_2-p_0.1.txt;2;2;2;s
synth-n_40-m_95-k_6-p_0.1.txt;4;4;4;s
synth-n_50-m_139-k_2-p_0.1.txt;2;2;2;s
synth-n_50-m_139-k_4-p_0.1.txt;2;2;0;s
synth-n_50-m_154-k_8-p_0.1.txt;6;6;2;s
synth-n_50-m_159-k_10-p_0.1.txt;8;7;0;s
synth-n_50-m_169-k_6-p_0.1.txt;6;6;6;s
synth-n_50-m_192-k_20-p_0.1.txt;11;8;0;s
synth-n_50-m_195-k_15-p_0.1.txt;8;8;1;s
synth-n_50-m_275-k_2-p_0.2.txt;2;2;2;s
synth-n_50-m_278-k_4-p_0.2.txt;4;4;1;s
synth-n_50-m_302-k_6-p_0.2.txt;6;6;1;s
synth-n_50-m_320-k_15-p_0.2.txt;14;10;0;s
synth-n_50-m_327-k_10-p_0.2.txt;10;8;0;s
synth-n_50-m_334-k_8-p_0.2.txt;8;8;2;s
synth-n_50-m_357-k_20-p_0.2.txt;20;17;0;s
synth-n_50-m_66-k_2-p_0.05.txt;1;1;1;s
synth-n_50-m_70-k_4-p_0.05.txt;0;0;0;s
synth-n_50-m_71-k_8-p_0.05.txt;2;2;2;s
synth-n_50-m_81-k_10-p_0.05.txt;3;3;3;s
synth-n_50-m_90-k_20-p_0.05.txt;2;2;2;s
synth-n_50-m_91-k_6-p_0.05.txt;1;1;1;s
synth-n_50-m_97-k_15-p_0.05.txt;4;4;4;s
synth-n_60-m_110-k_2-p_0.05.txt;1;1;1;s
synth-n_60-m_114-k_6-p_0.05.txt;2;2;2;s
synth-n_60-m_121-k_10-p_0.05.txt;3;3;3;s
synth-n_60-m_122-k_15-p_0.05.txt;5;5;0;s
synth-n_60-m_124-k_25-p_0.05.txt;6;6;1;s
synth-n_60-m_126-k_8-p_0.05.txt;4;4;4;s
synth-n_60-m_134-k_20-p_0.05.txt;5;5;5;s
synth-n_60-m_196-k_2-p_0.1.txt;2;2;2;s
synth-n_60-m_196-k_4-p_0.1.txt;4;4;4;s
synth-n_60-m_207-k_8-p_0.1.txt;8;6;2;s
synth-n_60-m_211-k_10-p_0.1.txt;7;5;0;s
synth-n_60-m_222-k_6-p_0.1.txt;5;5;5;s
synth-n_60-m_226-k_15-p_0.1.txt;10;6;1;s
synth-n_60-m_243-k_25-p_0.1.txt;14;11;0;s
synth-n_60-m_271-k_20-p_0.1.txt;15;10;0;s
synth-n_60-m_380-k_2-p_0.2.txt;2;2;2;s
synth-n_60-m_386-k_4-p_0.2.txt;4;4;2;s
synth-n_60-m_428-k_8-p_0.2.txt;8;7;0;s
synth-n_60-m_437-k_10-p_0.2.txt;10;7;0;s
synth-n_60-m_442-k_6-p_0.2.txt;6;5;0;s
synth-n_60-m_463-k_20-p_0.2.txt;20;13;0;s
synth-n_60-m_468-k_15-p_0.2.txt;15;8;0;s
synth-n_60-m_520-k_25-p_0.2.txt;25;11;0;s
synth-n_60-m_94-k_4-p_0.05.txt;1;1;1;s
synth-n_70-m_125-k_4-p_0.05.txt;0;0;0;s
synth-n_70-m_135-k_8-p_0.05.txt;3;3;3;s
synth-n_70-m_156-k_10-p_0.05.txt;4;4;4;s
synth-n_70-m_156-k_2-p_0.05.txt;0;0;0;s
synth-n_70-m_157-k_6-p_0.05.txt;4;4;4;s
synth-n_70-m_159-k_15-p_0.05.txt;4;4;4;s
synth-n_70-m_167-k_20-p_0.05.txt;8;7;0;s
synth-n_70-m_180-k_25-p_0.05.txt;7;7;1;s
synth-n_70-m_191-k_30-p_0.05.txt;10;9;6;s
synth-n_70-m_258-k_2-p_0.1.txt;2;2;2;s
synth-n_70-m_274-k_4-p_0.1.txt;4;3;2;s
synth-n_70-m_303-k_8-p_0.1.txt;8;7;0;s
synth-n_70-m_304-k_6-p_0.1.txt;6;5;0;s
synth-n_70-m_308-k_10-p_0.1.txt;9;6;0;s
synth-n_70-m_312-k_20-p_0.1.txt;16;10;1;s
synth-n_70-m_328-k_15-p_0.1.txt;12;9;0;s
synth-n_70-m_342-k_30-p_0.1.txt;19;11;0;s
synth-n_70-m_347-k_25-p_0.1.txt;18;10;0;s
synth-n_70-m_494-k_2-p_0.2.txt;2;2;2;s
synth-n_70-m_538-k_4-p_0.2.txt;4;4;0;s
synth-n_70-m_553-k_8-p_0.2.txt;8;7;2;s
synth-n_70-m_560-k_10-p_0.2.txt;10;7;0;s
synth-n_70-m_591-k_6-p_0.2.txt;6;6;1;s
synth-n_70-m_626-k_15-p_0.2.txt;15;9;0;s
synth-n_70-m_644-k_25-p_0.2.txt;23;12;0;s
synth-n_70-m_645-k_20-p_0.2.txt;20;11;0;s
synth-n_70-m_702-k_30-p_0.2.txt;28;18;0;s
synth-n_80-m_167-k_2-p_0.05.txt;0;0;0;s
synth-n_80-m_169-k_10-p_0.05.txt;6;6;6;s
synth-n_80-m_170-k_4-p_0.05.txt;0;0;0;s
synth-n_80-m_186-k_8-p_0.05.txt;3;3;3;s
synth-n_80-m_189-k_15-p_0.05.txt;6;6;6;s
synth-n_80-m_193-k_6-p_0.05.txt;4;4;4;s
synth-n_80-m_214-k_20-p_0.05.txt;10;6;1;s
synth-n_80-m_222-k_30-p_0.05.txt;12;7;1;s
synth-n_80-m_226-k_25-p_0.05.txt;7;5;2;s
synth-n_80-m_305-k_2-p_0.1.txt;1;1;1;s
synth-n_80-m_319-k_4-p_0.1.txt;3;3;3;s
synth-n_80-m_343-k_10-p_0.1.txt;9;5;2;s
synth-n_80-m_350-k_6-p_0.1.txt;5;5;1;s
synth-n_80-m_369-k_8-p_0.1.txt;7;7;7;s
synth-n_80-m_400-k_15-p_0.1.txt;14;9;0;s
synth-n_80-m_402-k_20-p_0.1.txt;16;12;1;s
synth-n_80-m_444-k_25-p_0.1.txt;20;11;0;s
synth-n_80-m_483-k_30-p_0.1.txt;25;14;0;s
synth-n_80-m_636-k_4-p_0.2.txt;4;4;0;s
synth-n_80-m_667-k_2-p_0.2.txt;2;2;2;s
synth-n_80-m_690-k_6-p_0.2.txt;6;6;6;s
synth-n_80-m_700-k_8-p_0.2.txt;8;8;0;s
synth-n_80-m_753-k_10-p_0.2.txt;10;7;1;s
synth-n_80-m_780-k_20-p_0.2.txt;20;15;0;s
synth-n_80-m_818-k_15-p_0.2.txt;15;13;0;s
synth-n_80-m_837-k_30-p_0.2.txt;30;22;0;s
synth-n_80-m_854-k_25-p_0.2.txt;25;18;0;s
synth-n_90-m_1018-k_20-p_0.2.txt;20;18;0;s
synth-n_90-m_1019-k_15-p_0.2.txt;15;13;0;s
synth-n_90-m_1054-k_25-p_0.2.txt;25;19;0;s
synth-n_90-m_1075-k_30-p_0.2.txt;30;21;0;s
synth-n_90-m_188-k_2-p_0.05.txt;0;0;0;s
synth-n_90-m_214-k_8-p_0.05.txt;7;6;4;s
synth-n_90-m_216-k_4-p_0.05.txt;3;3;3;s
synth-n_90-m_239-k_6-p_0.05.txt;4;4;4;s
synth-n_90-m_248-k_10-p_0.05.txt;7;7;3;s
synth-n_90-m_258-k_20-p_0.05.txt;9;8;1;s
synth-n_90-m_269-k_15-p_0.05.txt;9;6;1;s
synth-n_90-m_273-k_25-p_0.05.txt;11;7;0;s
synth-n_90-m_327-k_30-p_0.05.txt;14;9;0;s
synth-n_90-m_410-k_4-p_0.1.txt;4;4;4;s
synth-n_90-m_445-k_10-p_0.1.txt;10;9;4;s
synth-n_90-m_450-k_2-p_0.1.txt;2;2;2;s
synth-n_90-m_470-k_8-p_0.1.txt;8;8;2;s
synth-n_90-m_486-k_6-p_0.1.txt;6;5;1;s
synth-n_90-m_504-k_15-p_0.1.txt;15;10;0;s
synth-n_90-m_527-k_20-p_0.1.txt;19;11;0;s
synth-n_90-m_555-k_30-p_0.1.txt;23;15;0;s
synth-n_90-m_558-k_25-p_0.1.txt;23;14;0;s
synth-n_90-m_855-k_6-p_0.2.txt;6;6;6;s
synth-n_90-m_863-k_2-p_0.2.txt;2;2;2;s
synth-n_90-m_870-k_4-p_0.2.txt;4;4;4;s
synth-n_90-m_888-k_8-p_0.2.txt;8;7;0;s
synth-n_90-m_980-k_10-p_0.2.txt;10;10;0;s
