index;k;lb;cleaning;class
GD-n_105-m_149.mtx;20;20;20;c
GD-n_121-m_207.mtx;43;43;43;c
GD-n_18-m_37.mtx;8;7;5;c
GD-n_180-m_229.mtx;2;2;2;c
GD-n_23-m_87.mtx;9;9;7;c
GD-n_36-m_57.mtx;5;5;5;c
GD-n_38-m_50.mtx;2;2;0;c
GD-n_62-m_287.mtx;38;34;23;c
GD-n_73-m_96.mtx;2;2;2;c
GD-n_80-m_232.mtx;20;18;16;c
GD-n_84-m_196.mtx;0;0;0;c
health-n_100;2;2;2;c
health-n_1000;232;231;222;c
health-n_200;16;16;16;c
health-n_300;22;22;22;c
health-n_400;42;42;42;c
health-n_500;80;80;80;c
health-n_700;126;125;123;c
health-n_800;164;164;164;c
link-kv-n_100;8;8;8;c
link-kv-n_1000;238;238;238;c
link-kv-n_200;18;18;18;c
link-kv-n_300;55;55;55;c
link-kv-n_400;78;78;78;c
link-kv-n_500;98;98;98;c
link-kv-n_700;166;166;166;c
link-kv-n_800;182;182;182;c
maayan_foodweb-n_183-m_2476;11;11;11;c
moreno_bison-n_26-m_314;16;11;1;c
moreno_cattle-n_28-m_217;8;8;6;c
moreno_hens-n_32-m_496;11;1;0;c
moreno_innovation-n_241-m_1098;79;76;55;c
moreno_mac-n_62-m_1187;14;11;3;c
moreno_rhesus-m_16-m_111;10;7;2;c
moreno_sheep-n_28-m_250;8;6;1;c
openflights-n_100;8;8;8;c
openflights-n_1000;228;228;228;c
openflights-n_200;24;24;24;c
openflights-n_300;37;37;37;c
openflights-n_400;69;69;69;c
openflights-n_500;88;88;88;c
openflights-n_700;148;148;141;c
openflights-n_800;179;179;179;c
oz;138;96;4;c
polbooks-n_105-m_441.mtx;0;0;0;c
talk-oc-n_100;1;1;1;c
talk-oc-n_1000;6;6;6;c
talk-oc-n_200;1;1;1;c
talk-oc-n_300;0;0;0;c
talk-oc-n_400;1;1;1;c
talk-oc-n_500;4;4;4;c
talk-oc-n_700;2;2;2;c
talk-oc-n_800;4;4;4;c
temporalGraph-n_100;3;3;3;c
temporalGraph-n_1000;45;44;38;c
temporalGraph-n_200;3;3;3;c
temporalGraph-n_300;7;7;7;c
temporalGraph-n_400;12;12;12;c
temporalGraph-n_500;14;14;14;c
temporalGraph-n_700;26;26;26;c
temporalGraph-n_800;33;33;33;c
Tina_AskCal-n_11-m_29.mtx;3;3;3;c
trust;166;166;166;c
ucsocial-n_100;14;14;14;c
ucsocial-n_1000;253;253;253;c
ucsocial-n_200;24;24;24;c
ucsocial-n_300;44;44;44;c
ucsocial-n_400;73;73;73;c
ucsocial-n_500;105;105;105;c
ucsocial-n_700;166;166;166;c
ucsocial-n_800;183;183;183;c
usairport-n_100;10;10;10;c
usairport-n_1000;251;233;181;c
usairport-n_200;29;29;29;c
usairport-n_300;48;48;48;c
usairport-n_400;84;79;60;c
usairport-n_500;100;95;78;c
usairport-n_700;154;143;116;c
usairport-n_800;191;180;161;c
wikispeedia-n_100;6;6;6;c
wikispeedia-n_1000;162;159;122;c
wikispeedia-n_200;10;10;10;c
wikispeedia-n_300;23;23;23;c
wikispeedia-n_400;39;39;39;c
wikispeedia-n_500;59;58;53;c
wikispeedia-n_700;77;77;69;c
wikispeedia-n_800;110;107;82;c
synth-n_10-m_12-k_2-p_0.2.txt;0;0;0;s
synth-n_10-m_12-k_4-p_0.2.txt;1;1;1;s
synth-n_100-m_1009-k_2-p_0.2.txt;2;2;2;s
synth-n_100-m_1028-k_4-p_0.2.txt;4;4;0;s
synth-n_100-m_1107-k_6-p_0.2.txt;6;6;2;s
synth-n_100-m_1119-k_8-p_0.2.txt;8;8;0;s
synth-n_100-m_1129-k_10-p_0.2.txt;10;8;0;s
synth-n_100-m_1220-k_15-p_0.2.txt;15;15;0;s
synth-n_100-m_1231-k_25-p_0.2.txt;25;20;0;s
synth-n_100-m_1235-k_20-p_0.2.txt;20;16;0;s
synth-n_100-m_1374-k_30-p_0.2.txt;30;24;0;s
synth-n_100-m_262-k_6-p_0.05.txt;5;5;5;s
synth-n_100-m_275-k_10-p_0.05.txt;6;5;2;s
synth-n_100-m_277-k_8-p_0.05.txt;4;4;4;s
synth-n_100-m_282-k_2-p_0.05.txt;2;2;2;s
synth-n_100-m_305-k_20-p_0.05.txt;10;7;0;s
synth-n_100-m_305-k_4-p_0.05.txt;3;3;3;s
synth-n_100-m_319-k_15-p_0.05.txt;9;7;3;s
synth-n_100-m_344-k_25-p_0.05.txt;12;10;0;s
synth-n_100-m_346-k_30-p_0.05.txt;17;12;0;s
synth-n_100-m_491-k_2-p_0.1.txt;2;2;2;s
synth-n_100-m_542-k_4-p_0.1.txt;4;4;4;s
synth-n_100-m_546-k_8-p_0.1.txt;8;7;3;s
synth-n_100-m_565-k_6-p_0.1.txt;6;6;6;s
synth-n_100-m_568-k_10-p_0.1.txt;10;10;0;s
synth-n_100-m_596-k_15-p_0.1.txt;15;12;0;s
synth-n_100-m_643-k_25-p_0.1.txt;25;12;0;s
synth-n_100-m_645-k_20-p_0.1.txt;20;15;0;s
synth-n_100-m_670-k_30-p_0.1.txt;29;11;0;s
synth-n_120-m_1409-k_2-p_0.2.txt;2;2;2;s
synth-n_120-m_1485-k_6-p_0.2.txt;6;5;0;s
synth-n_120-m_1520-k_4-p_0.2.txt;4;4;1;s
synth-n_120-m_1530-k_10-p_0.2.txt;10;10;0;s
synth-n_120-m_1600-k_8-p_0.2.txt;8;7;0;s
synth-n_120-m_1738-k_15-p_0.2.txt;15;15;0;s
synth-n_120-m_1775-k_20-p_0.2.txt;20;19;0;s
synth-n_120-m_1825-k_25-p_0.2.txt;25;23;0;s
synth-n_120-m_1829-k_30-p_0.2.txt;30;29;0;s
synth-n_120-m_368-k_2-p_0.05.txt;2;2;2;s
synth-n_120-m_372-k_4-p_0.05.txt;4;4;4;s
synth-n_120-m_391-k_6-p_0.05.txt;5;5;1;s
synth-n_120-m_395-k_8-p_0.05.txt;7;7;7;s
synth-n_120-m_420-k_10-p_0.05.txt;7;7;7;s
synth-n_120-m_432-k_20-p_0.05.txt;15;14;2;s
synth-n_120-m_455-k_15-p_0.05.txt;10;7;0;s
synth-n_120-m_482-k_25-p_0.05.txt;17;9;0;s
synth-n_120-m_492-k_30-p_0.05.txt;21;14;0;s
synth-n_120-m_724-k_4-p_0.1.txt;4;4;4;s
synth-n_120-m_788-k_6-p_0.1.txt;6;6;6;s
synth-n_120-m_790-k_10-p_0.1.txt;10;8;0;s
synth-n_120-m_791-k_2-p_0.1.txt;2;2;2;s
synth-n_120-m_828-k_8-p_0.1.txt;8;8;1;s
synth-n_120-m_871-k_15-p_0.1.txt;15;10;0;s
synth-n_120-m_921-k_25-p_0.1.txt;25;11;0;s
synth-n_120-m_935-k_30-p_0.1.txt;29;22;0;s
synth-n_120-m_950-k_20-p_0.1.txt;20;8;0;s
synth-n_140-m_1028-k_2-p_0.1.txt;2;2;2;s
synth-n_140-m_1046-k_6-p_0.1.txt;6;6;6;s
synth-n_140-m_1047-k_4-p_0.1.txt;4;4;4;s
synth-n_140-m_1056-k_8-p_0.1.txt;8;8;4;s
synth-n_140-m_1070-k_10-p_0.1.txt;10;10;0;s
synth-n_140-m_1181-k_20-p_0.1.txt;20;19;0;s
synth-n_140-m_1184-k_15-p_0.1.txt;15;13;1;s
synth-n_140-m_1225-k_25-p_0.1.txt;25;23;0;s
synth-n_140-m_1284-k_30-p_0.1.txt;30;20;0;s
synth-n_140-m_2032-k_2-p_0.2.txt;2;2;2;s
synth-n_140-m_2038-k_4-p_0.2.txt;4;4;0;s
synth-n_140-m_2080-k_6-p_0.2.txt;6;6;0;s
synth-n_140-m_2149-k_8-p_0.2.txt;8;8;0;s
synth-n_140-m_2195-k_10-p_0.2.txt;10;10;0;s
synth-n_140-m_2205-k_15-p_0.2.txt;15;13;0;s
synth-n_140-m_2299-k_20-p_0.2.txt;20;19;0;s
synth-n_140-m_2379-k_25-p_0.2.txt;25;25;0;s
synth-n_140-m_2487-k_30-p_0.2.txt;30;28;0;s
synth-n_140-m_508-k_2-p_0.05.txt;2;2;2;s
synth-n_140-m_511-k_4-p_0.05.txt;2;2;2;s
synth-n_140-m_511-k_6-p_0.05.txt;6;6;6;s
synth-n_140-m_531-k_8-p_0.05.txt;7;7;7;s
synth-n_140-m_542-k_15-p_0.05.txt;13;7;2;s
synth-n_140-m_547-k_10-p_0.05.txt;8;8;8;s
synth-n_140-m_625-k_25-p_0.05.txt;22;9;0;s
synth-n_140-m_632-k_20-p_0.05.txt;16;13;1;s
synth-n_140-m_632-k_30-p_0.05.txt;26;16;1;s
synth-n_160-m_1318-k_4-p_0.1.txt;4;4;4;s
synth-n_160-m_1324-k_2-p_0.1.txt;2;2;2;s
synth-n_160-m_1346-k_6-p_0.1.txt;6;6;6;s
synth-n_160-m_1409-k_10-p_0.1.txt;10;9;1;s
synth-n_160-m_1412-k_8-p_0.1.txt;8;8;0;s
synth-n_160-m_1447-k_15-p_0.1.txt;15;7;1;s
synth-n_160-m_1523-k_20-p_0.1.txt;20;17;0;s
synth-n_160-m_1595-k_25-p_0.1.txt;25;24;0;s
synth-n_160-m_1648-k_30-p_0.1.txt;30;23;0;s
synth-n_160-m_2577-k_2-p_0.2.txt;2;2;2;s
