index;k;lb;cleaning;class
synth-n_1300-m_45241-k_50-p_0.05.txt;50;12;0;s
synth-n_1300-m_46137-k_70-p_0.05.txt;70;68;0;s
synth-n_150-m_1254-k_10-p_0.1.txt;10;8;0;s
synth-n_150-m_1269-k_15-p_0.1.txt;15;15;2;s
synth-n_150-m_1284-k_20-p_0.1.txt;20;18;0;s
synth-n_150-m_1385-k_25-p_0.1.txt;25;21;0;s
synth-n_150-m_1423-k_30-p_0.1.txt;30;27;0;s
synth-n_150-m_2446-k_10-p_0.2.txt;10;4;0;s
synth-n_150-m_2502-k_15-p_0.2.txt;15;7;0;s
synth-n_150-m_2552-k_20-p_0.2.txt;20;20;0;s
synth-n_150-m_2731-k_25-p_0.2.txt;25;23;0;s
synth-n_150-m_2807-k_30-p_0.2.txt;30;29;0;s
synth-n_150-m_3040-k_50-p_0.2.txt;50;42;0;s
synth-n_150-m_630-k_15-p_0.05.txt;15;11;1;s
synth-n_150-m_634-k_10-p_0.05.txt;7;7;7;s
synth-n_150-m_666-k_20-p_0.05.txt;15;10;1;s
synth-n_150-m_704-k_25-p_0.05.txt;23;16;1;s
synth-n_150-m_781-k_50-p_0.05.txt;32;19;0;s
synth-n_150-m_782-k_30-p_0.05.txt;28;16;1;s
synth-n_150-m_805-k_70-p_0.05.txt;43;21;0;s
synth-n_1600-m_68907-k_70-p_0.05.txt;70;37;0;s
synth-n_200-m_1076-k_10-p_0.05.txt;10;10;10;s
synth-n_200-m_1167-k_15-p_0.05.txt;15;11;1;s
synth-n_200-m_1175-k_20-p_0.05.txt;20;11;0;s
synth-n_200-m_1245-k_25-p_0.05.txt;24;15;0;s
synth-n_200-m_1266-k_30-p_0.05.txt;30;19;0;s
synth-n_200-m_1336-k_50-p_0.05.txt;45;26;0;s
synth-n_200-m_2169-k_15-p_0.1.txt;15;14;1;s
synth-n_200-m_2199-k_10-p_0.1.txt;10;9;0;s
synth-n_200-m_2293-k_20-p_0.1.txt;20;17;0;s
synth-n_200-m_2369-k_25-p_0.1.txt;25;21;0;s
synth-n_200-m_2491-k_30-p_0.1.txt;30;28;0;s
synth-n_200-m_2592-k_50-p_0.1.txt;50;40;0;s
synth-n_200-m_2772-k_70-p_0.1.txt;70;51;0;s
