instance;recursions;rootTime;cleaningTime;packingTime;flowerTime;digraphTime;busyCycleBranchingTime;cycleSearchTime;tarjanTime;totalTime;firstLowerbound;firstDigraphNodes;firstCleans;tarjanString
../instances/complex3/advotogo-n_3000;558;1985905637;47646638;10556448;4110074;3014743;7142480;704;0;2083446402;24;165;354;null
../instances/synthetic3/synth-n_150-m_2446-k_10-p_0.2.txt;31;296262160;73214604;18344920;0;8586692;36248823;6155;0;438058595;4;0;0;null
../instances/synthetic3/synth-n_500-m_13672-k_25-p_0.1.txt;1;3176902624;1427196331;65132857;0;21728767;0;76302;0;4700826822;25;0;0;null
../instances/synthetic3/synth-n_200-m_2369-k_25-p_0.1.txt;109;364318089;472548653;53486732;9426233;10914425;58285404;2435;0;990839220;21;0;0;null
../instances/complex3/ChicagoRegional-n_9000;576;2875217168;30320514;9688003;1844955;5748853;20505216;526;0;2960908667;232;2294;1093;null
../instances/synthetic3/synth-n_200-m_4763-k_25-p_0.2.txt;39;930661265;301122785;64300746;0;11477164;59093426;2719;0;1382881762;19;0;0;null
../instances/complex3/ChicagoRegional-n_200;0;6684201;0;0;0;0;0;0;0;6688044;0;5;0;null
../instances/complex3/temporalGraph-n_500;2;28936503;948558;254915;0;278032;2101247;8138;0;32919413;6;7;4;null
../instances/complex3/blogs-n_50;0;18293037;0;0;0;0;0;0;0;18294847;0;5;1;null
../instances/complex3/temporalGraph-n_100;0;3427143;0;0;0;0;0;0;0;3432568;0;0;0;null
../instances/complex3/blogs-n_200;0;40372764;0;0;0;0;0;0;0;40375877;0;9;7;null
../instances/complex3/ChicagoRegional-n_10000;984;3817721715;55311740;11774356;6510676;12821093;33098911;1044;0;3965344519;378;2408;1348;null
../instances/complex3/advotogo-n_1000;1;187466935;170888;213008;0;319153;0;6957;0;188549196;3;74;50;null
../instances/synthetic3/synth-n_150-m_630-k_15-p_0.05.txt;1027;93232684;201232608;41192996;14305945;8168599;79767904;937;0;500522850;10;0;1;null
../instances/synthetic3/synth-n_300-m_10113-k_25-p_0.2.txt;1;1893631586;561124910;47964418;0;16643894;0;29175;0;2528933182;25;0;0;null
../instances/complex3/blogs-n_500;8203;211434585;240656240;62985071;18387868;11740667;144831705;694;0;823427408;19;22;30;null
../instances/synthetic3/synth-n_300-m_10954-k_50-p_0.2.txt;11;2454570177;2383819894;107017856;0;18163870;22384902;4681;0;5003912797;48;0;0;null
../instances/complex3/health-n_200;0;21734152;0;0;0;0;0;0;0;21737660;0;17;0;null
../instances/synthetic3/synth-n_250-m_1653-k_10-p_0.05.txt;0;206927798;0;0;0;0;0;0;0;206929700;0;0;10;null
../instances/complex3/talk-oc-n_3000;0;368955834;0;0;0;0;0;0;0;368959735;0;14;15;null
../instances/synthetic3/synth-n_300-m_2373-k_15-p_0.05.txt;1;360015984;193360542;11380399;0;5587492;0;9366;0;572915932;15;0;0;null
../instances/synthetic3/synth-n_150-m_2502-k_15-p_0.2.txt;41;335178330;238481541;23239226;0;31026898;74506003;11626;0;714364273;7;0;0;null
../instances/synthetic3/synth-n_250-m_3493-k_25-p_0.1.txt;16;727808928;342275590;30364593;0;9488854;13254192;4552;0;1130737918;21;0;1;null
../instances/synthetic3/synth-n_300-m_4954-k_20-p_0.1.txt;1;839306534;246258992;18251438;0;11885300;0;7461;0;1120393259;20;0;0;null
../instances/synthetic3/synth-n_250-m_6839-k_20-p_0.2.txt;1;1116510797;227048498;23432629;0;13943669;0;11095;0;1386244293;20;0;0;null
../instances/complex3/bitcoinalpha-n_100;0;4095560;0;0;0;0;0;0;0;4100088;0;2;0;null
../instances/synthetic3/synth-n_500-m_13283-k_20-p_0.1.txt;1;3081567377;957954422;44606779;0;19824157;0;14499;0;4115540074;20;0;0;null
../instances/complex3/ChicagoRegional-n_5000;24;411022540;1743272;829479;0;729493;1459737;2876;0;419272189;24;1320;139;null
../instances/synthetic3/synth-n_200-m_4301-k_10-p_0.2.txt;1;515678578;78460245;9595190;0;15838879;0;13660;0;623237395;10;0;0;null
../instances/synthetic3/synth-n_400-m_18943-k_50-p_0.2.txt;1;5206637475;1958141390;85179932;0;23536523;0;3097;0;7282087042;50;0;0;null
../instances/complex3/blogs-n_100;0;19770073;0;0;0;0;0;0;0;19772338;0;4;4;null
../instances/synthetic3/synth-n_300-m_10205-k_30-p_0.2.txt;9;1727152771;655803091;50620573;0;9669765;31279718;3026;0;2491037638;29;0;0;null
../instances/synthetic3/synth-n_300-m_2470-k_20-p_0.05.txt;10;340124874;170621382;7870483;0;5815879;5690827;2286;0;537200859;16;0;1;null
../instances/synthetic3/synth-n_150-m_1284-k_20-p_0.1.txt;92;130645400;440914921;27417116;14758948;6034877;65089767;1673;0;704265803;18;0;0;null
../instances/synthetic3/synth-n_500-m_26954-k_25-p_0.2.txt;24;7037804426;3215941405;326160629;0;36711706;215370040;17769;0;10877106614;21;0;0;null
../instances/synthetic3/synth-n_400-m_17822-k_30-p_0.2.txt;1;3936129582;1696399966;101509793;0;17726165;0;3386;0;5761117402;30;0;0;null
../instances/synthetic3/synth-n_300-m_9556-k_15-p_0.2.txt;1;1334675230;469053208;36502947;0;16230135;0;13453;0;1864858761;15;0;0;null
../instances/complex3/usairport-n_100;0;15536914;0;0;0;0;0;0;0;15537577;0;5;8;null
../instances/complex3/temporalGraph-n_1500;0;166820884;0;0;0;0;0;0;0;166822496;0;18;59;null
../instances/synthetic3/synth-n_250-m_3730-k_30-p_0.1.txt;1534;899214137;9353749806;682842596;150298306;42725371;1446731474;1531;0;12823006950;26;0;0;null
../instances/synthetic3/synth-n_300-m_2597-k_25-p_0.05.txt;444;314867835;1495618853;102961280;47595700;21894036;247716892;3407;0;2322939501;8;0;0;null
../instances/synthetic3/synth-n_700-m_26060-k_25-p_0.1.txt;1;8001934553;2687913087;93636052;0;25915254;0;5494;0;10825484374;25;0;0;null
../instances/synthetic3/synth-n_250-m_6880-k_15-p_0.2.txt;1;907470424;189925440;12464384;0;13612503;0;13796;0;1128767903;15;0;0;null
../instances/synthetic3/synth-n_500-m_26431-k_20-p_0.2.txt;1;5272101419;2487315967;61755567;0;22546920;0;107207;0;7859198655;20;0;0;null
../instances/complex3/temporalGraph-n_200;0;10354763;0;0;0;0;0;0;0;10356890;0;2;3;null
../instances/synthetic3/synth-n_300-m_10021-k_20-p_0.2.txt;1;1695565626;473360818;35237967;0;16564276;0;31785;0;2230974219;20;0;0;null
../instances/complex3/health-n_1500;5;434587600;308455;182309;0;370130;490673;2248;0;436288519;5;173;268;null
